study_id,ES_id,Article Title,Publication Year,surv_mean,surv_mean_unit,surv_SD,surv_SE,surv_CI_upper,surv_CI_lower,surv_sample_size,orig_mean,orig_mean_unit,orig_SD,orig_SE,orig_CI_upper,orig_CI_lower,orig_sample_size,lat,lon,LHS,species,study_name,SD_orig,SD_surv,pooled_SD,SMD,SMD_se,pooled_sample_size
296,110,Settlement patterns and post-settlement survival in two Mediterranean littoral fishes: influences of early-life traits and environmental variables,2005,68.7,um,3.3,NA,NA,NA,14,68.8,um,4.8,NA,NA,NA,14,41.68,2.8,larvae,chromis_chromis,Macpherson and Raventos 2005,4.8,3.3,17.46324712,0.005726312,0.377965248,28
296,111,Settlement patterns and post-settlement survival in two Mediterranean littoral fishes: influences of early-life traits and environmental variables,2005,67.9,um,4.1,NA,NA,NA,13,68.3,um,5.3,NA,NA,NA,16,41.68,2.8,larvae,chromis_chromis,Macpherson and Raventos 2005,5.3,4.1,20.70799631,0.01931621,0.373402611,29
296,112,Settlement patterns and post-settlement survival in two Mediterranean littoral fishes: influences of early-life traits and environmental variables,2005,68.7,um,5.4,NA,NA,NA,17,70,um,4.2,NA,NA,NA,20,41.68,2.8,larvae,chromis_chromis,Macpherson and Raventos 2005,4.2,5.4,18.66789452,0.069638276,0.329983428,37
296,113,Settlement patterns and post-settlement survival in two Mediterranean littoral fishes: influences of early-life traits and environmental variables,2005,68.4,um,5.3,NA,NA,NA,17,68.7,um,4.6,NA,NA,NA,18,41.68,2.8,larvae,chromis_chromis,Macpherson and Raventos 2005,4.6,5.3,19.32199249,0.015526349,0.338204862,35
296,114,Settlement patterns and post-settlement survival in two Mediterranean littoral fishes: influences of early-life traits and environmental variables,2005,67.2,um,6.4,NA,NA,NA,19,69,um,5.4,NA,NA,NA,21,41.68,2.8,larvae,chromis_chromis,Macpherson and Raventos 2005,5.4,6.4,24.54795522,0.073325863,0.316729909,40
296,115,Settlement patterns and post-settlement survival in two Mediterranean littoral fishes: influences of early-life traits and environmental variables,2005,67.8,um,5.7,NA,NA,NA,43,68.3,um,5.2,NA,NA,NA,21,41.68,2.8,larvae,chromis_chromis,Macpherson and Raventos 2005,5.2,5.7,23.72360333,0.021076056,0.266229848,64
296,116,Settlement patterns and post-settlement survival in two Mediterranean littoral fishes: influences of early-life traits and environmental variables,2005,67.6,um,5.1,NA,NA,NA,24,68.4,um,5.8,NA,NA,NA,30,41.68,2.8,larvae,chromis_chromis,Macpherson and Raventos 2005,5.8,5.1,31.41758143,0.02546345,0.27387224,54
296,117,Settlement patterns and post-settlement survival in two Mediterranean littoral fishes: influences of early-life traits and environmental variables,2005,67.9,um,6,NA,NA,NA,34,68.2,um,5.1,NA,NA,NA,20,41.68,2.8,larvae,chromis_chromis,Macpherson and Raventos 2005,5.1,6,22.73842901,0.013193524,0.281803791,54
296,118,Settlement patterns and post-settlement survival in two Mediterranean littoral fishes: influences of early-life traits and environmental variables,2005,69.4,um,5.3,NA,NA,NA,17,68.9,um,5.6,NA,NA,NA,19,41.68,2.8,larvae,chromis_chromis,Macpherson and Raventos 2005,5.6,5.3,24.0353661,-0.020802679,0.333857932,36
296,119,Settlement patterns and post-settlement survival in two Mediterranean littoral fishes: influences of early-life traits and environmental variables,2005,5.48,um,0.6,NA,NA,NA,16,4.7,um,0.3,NA,NA,NA,15,41.68,2.8,larvae,chromis_chromis,Macpherson and Raventos 2005,0.3,0.6,1.202583426,-0.64860365,0.368716607,31
296,120,Settlement patterns and post-settlement survival in two Mediterranean littoral fishes: influences of early-life traits and environmental variables,2005,5.34,um,0.2,NA,NA,NA,14,4.75,um,0.4,NA,NA,NA,14,41.68,2.8,larvae,chromis_chromis,Macpherson and Raventos 2005,0.4,0.2,1.449137675,-0.40713868,0.381860154,28
296,121,Settlement patterns and post-settlement survival in two Mediterranean littoral fishes: influences of early-life traits and environmental variables,2005,5.72,um,0.6,NA,NA,NA,13,4.73,um,0.4,NA,NA,NA,16,41.68,2.8,larvae,chromis_chromis,Macpherson and Raventos 2005,0.4,0.6,1.6,-0.61875,0.382130823,29
296,122,Settlement patterns and post-settlement survival in two Mediterranean littoral fishes: influences of early-life traits and environmental variables,2005,5.7,um,0.4,NA,NA,NA,17,5.02,um,0.5,NA,NA,NA,20,41.68,2.8,larvae,chromis_chromis,Macpherson and Raventos 2005,0.5,0.4,2.196165489,-0.309630583,0.331841958,37
296,123,Settlement patterns and post-settlement survival in two Mediterranean littoral fishes: influences of early-life traits and environmental variables,2005,5.78,um,0.2,NA,NA,NA,17,4.81,um,0.2,NA,NA,NA,18,41.68,2.8,larvae,chromis_chromis,Macpherson and Raventos 2005,0.2,0.2,0.836297758,-1.15987397,0.365510281,35
296,124,Settlement patterns and post-settlement survival in two Mediterranean littoral fishes: influences of early-life traits and environmental variables,2005,5.83,um,0.4,NA,NA,NA,19,5.08,um,0.4,NA,NA,NA,21,41.68,2.8,larvae,chromis_chromis,Macpherson and Raventos 2005,0.4,0.4,1.809914217,-0.41438428,0.3199954,40
296,125,Settlement patterns and post-settlement survival in two Mediterranean littoral fishes: influences of early-life traits and environmental variables,2005,5.7,um,0.6,NA,NA,NA,43,4.62,um,0.5,NA,NA,NA,21,41.68,2.8,larvae,chromis_chromis,Macpherson and Raventos 2005,0.5,0.6,2.289949992,-0.47162602,0.269467261,64
296,126,Settlement patterns and post-settlement survival in two Mediterranean littoral fishes: influences of early-life traits and environmental variables,2005,5.64,um,0.5,NA,NA,NA,24,4.73,um,0.4,NA,NA,NA,30,41.68,2.8,larvae,chromis_chromis,Macpherson and Raventos 2005,0.4,0.5,2.179581823,-0.417511281,0.276792402,54
296,127,Settlement patterns and post-settlement survival in two Mediterranean littoral fishes: influences of early-life traits and environmental variables,2005,5.62,um,0.4,NA,NA,NA,34,4.56,um,0.6,NA,NA,NA,20,41.68,2.8,larvae,chromis_chromis,Macpherson and Raventos 2005,0.6,0.4,2.634679954,-0.402325906,0.284447755,54
296,128,Settlement patterns and post-settlement survival in two Mediterranean littoral fishes: influences of early-life traits and environmental variables,2005,5.75,um,0.4,NA,NA,NA,17,4.8,um,0.4,NA,NA,NA,19,41.68,2.8,larvae,chromis_chromis,Macpherson and Raventos 2005,0.4,0.4,1.71909689,-0.55261574,0.340141963,36
34,7,Annual variation in size-selective mortality of Atlantic salmon (Salmo salar) fry,2001,99.64,um,NA,1.7,NA,NA,63,93.26,um,NA,1.7,NA,NA,57,48.28,-69.92,juvenile,salmo_salar,Good et al. 2001,12.83471854,13.49333169,96.542964,-0.066084567,0.182852597,120
34,8,Annual variation in size-selective mortality of Atlantic salmon (Salmo salar) fry,2002,82.3,um,NA,1.2,NA,NA,97,100.9,um,NA,1.2,NA,NA,99,48.28,-69.92,juvenile,salmo_salar,Good et al. 2001,11.93984925,11.81862936,118.4905059,0.156974602,0.143084409,196
413,155,Inter-cohort competition drives density dependence and selective mortality in a marine fish,2009,190.7,um,NA,2.1,NA,NA,15,196.9,um,NA,1.6,NA,NA,48,23.77,-76.17,larvae,gnatholepis_thompsoni,Samhouri et al. 2009,11.08512517,8.133265027,76.0956107,0.081476447,0.295893031,63
413,156,Inter-cohort competition drives density dependence and selective mortality in a marine fish,2009,196.7,um,NA,2.5,NA,NA,23,191.6,um,NA,2.1,NA,NA,51,23.77,-76.17,larvae,gnatholepis_thompsoni,Samhouri et al. 2009,14.9969997,11.98957881,106.2516993,-0.047999232,0.25120046,74
413,157,Inter-cohort competition drives density dependence and selective mortality in a marine fish,2009,195.5,um,NA,2,NA,NA,31,193.8,um,NA,1.9,NA,NA,33,23.77,-76.17,larvae,gnatholepis_thompsoni,Samhouri et al. 2009,10.91466903,11.13552873,62.22668238,-0.02731947,0.250133816,64
413,158,Inter-cohort competition drives density dependence and selective mortality in a marine fish,2009,192.9,um,NA,1.8,NA,NA,43,195.2,um,NA,1.6,NA,NA,53,23.77,-76.17,larvae,gnatholepis_thompsoni,Samhouri et al. 2009,11.64817582,11.80338934,84.36592536,0.027262191,0.205250114,96
413,159,Inter-cohort competition drives density dependence and selective mortality in a marine fish,2009,187,um,NA,2,NA,NA,26,192.4,um,NA,3,NA,NA,30,23.77,-76.17,larvae,gnatholepis_thompsoni,Samhouri et al. 2009,16.43167673,10.19803903,88.75893278,0.060838947,0.268007313,56
413,160,Inter-cohort competition drives density dependence and selective mortality in a marine fish,2009,191.9,um,NA,2.4,NA,NA,21,198.4,um,NA,4,NA,NA,12,23.77,-76.17,larvae,gnatholepis_thompsoni,Samhouri et al. 2009,13.85640646,10.99818167,46.79784941,0.138895272,0.36227708,33
413,161,Inter-cohort competition drives density dependence and selective mortality in a marine fish,2009,202.6,um,NA,2.6,NA,NA,19,197.8,um,NA,2.7,NA,NA,32,23.77,-76.17,larvae,gnatholepis_thompsoni,Samhouri et al. 2009,15.27350647,11.33313725,85.31624723,-0.056261265,0.289676736,51
413,162,Inter-cohort competition drives density dependence and selective mortality in a marine fish,2009,207.1,um,NA,2.1,NA,NA,39,200.9,um,NA,2,NA,NA,39,23.77,-76.17,larvae,gnatholepis_thompsoni,Samhouri et al. 2009,12.489996,13.1144958,77.54995164,-0.07994847,0.226545854,78
208,42,SIZE-SELECTIVE MORTALITY IN YOUNG-OF-THE-YEAR YELLOW PERCH (PERCA-FLAVESCENS) - EVIDENCE FROM OTOLITH MICROSTRUCTURE,1987,29.13,mm,NA,NA,32.04,26.22,30,28.97,mm,NA,NA,30.52,27.42,113,43.95,-79.42,juvenile,perca_flavescens,Post and Prankevicius 1987,8.406492862,8.132003277,89.04236514,-0.001796897,0.205384766,143
208,43,SIZE-SELECTIVE MORTALITY IN YOUNG-OF-THE-YEAR YELLOW PERCH (PERCA-FLAVESCENS) - EVIDENCE FROM OTOLITH MICROSTRUCTURE,1987,44.08,mm,NA,NA,47.49,40.67,30,35.29,mm,NA,NA,38,32.58,99,45.15,-79.08,juvenile,perca_flavescens,Post and Prankevicius 1987,13.75722426,9.529254699,136.2656775,-0.064506339,0.208447767,129
